#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
State A for a distant magnetic dipole.	\( \mathbf{A}(\mathbf{r}) = \dfrac{\mu_0}{4\pi}\,\dfrac{\mathbf{m}\times\mathbf{r}}{r^3} \)<br><br>where \(\mathbf{m} = \tfrac{1}{2}I\oint_L \mathbf{r}'\times d\mathbf{r}'\). For a planar loop \(\mathbf{m} = IA\hat{\mathbf{n}}\).	eo h2_vectorpot
State A inside and outside an infinite solenoid.	Inside (r<a): \(A_\phi = \mu_0 nI r/2\)<br>Outside (r>a): \(A_\phi = \mu_0 n I a^2/(2r)\)<br><br>Note: outside the solenoid, B = 0 but A ≠ 0. This raises the question of whether A has physical significance — answered by the Aharonov-Bohm effect.	eo h2_vectorpot
State the classical Hamiltonian for a charged particle in an EM field.	\( H = \dfrac{1}{2m}(\mathbf{p}_c - q\mathbf{A})^2 + q\phi \)<br><br>where \(\mathbf{p}_c\) is the canonical momentum. The kinetic momentum is \(\mathbf{p}_k = m\mathbf{v} = \mathbf{p}_c - q\mathbf{A}\). Hamilton's equations recover the Lorentz force.	eo h2_vectorpot
State the gauge transformation of the QM wavefunction.	Under \(\mathbf{A}' = \mathbf{A} + \nabla\chi\), \(\phi' = \phi - \partial\chi/\partial t\):<br><br>\( \Psi'(\mathbf{r},t) = \exp\!\left[\dfrac{ie}{\hbar}\chi(\mathbf{r},t)\right]\Psi(\mathbf{r},t) \)<br><br>This phase factor preserves the form of the Schrödinger equation. Although it doesn't affect \(|\Psi|^2\), interference between paths can detect the phase difference.	eo h2_vectorpot
State the Aharonov-Bohm phase difference for two paths.	\( \Delta = \dfrac{e}{\hbar}\Phi_B \)<br><br>where \(\Phi_B = \oint_L \mathbf{A}\cdot d\mathbf{s} = \int_S \mathbf{B}\cdot d\mathbf{S}\) is the flux enclosed between the two paths. Even when both paths lie in B = 0 regions, the enclosed flux shifts the interference pattern.	eo h2_vectorpot
State the magnetic flux quantum (single fluxoid).	\( \Phi_0 = h/(2e) \)<br><br>The flux through a superconducting ring is quantised in integer multiples of this. The factor of 2 arises from the Cooper pair charge. (For a normal conductor, the relevant quantum would be \(h/e\).)	eo h2_vectorpot
Describe Tonomura's experiment confirming the Aharonov-Bohm effect.	An Fe (Permalloy) ring encased in Nb shapes the magnetic flux to circulate inside the ring (B = 0 outside). Electrons passing through and around the ring acquire different Aharonov-Bohm phase shifts. As T falls below the Nb superconducting transition (\(T_c\)), the flux \(\Phi\) is quantised in fluxoids \(h/2e\), and \(\Delta = n\pi\) precisely.	eo h2_vectorpot
State Maxwell's equations in terms of A and ϕ in the Lorenz gauge.	MA1: \( \dfrac{\varepsilon\mu}{c^2}\ddot{\phi} - \nabla^2\phi = \dfrac{\rho}{\varepsilon\varepsilon_0} \)<br><br>MA2: \( \dfrac{\varepsilon\mu}{c^2}\ddot{\mathbf{A}} - \nabla^2\mathbf{A} = \mu\mu_0\mathbf{J} \)<br><br>Wave equations with source terms. Decoupled by the Lorenz condition. The fields then follow from \(\mathbf{B}=\nabla\times\mathbf{A}\) and \(\mathbf{E}=-\dot{\mathbf{A}}-\nabla\phi\).	eo h2_retarded
State the retarded scalar and vector potentials in vacuum.	\( \phi(\mathbf{r},t) = \dfrac{1}{4\pi\varepsilon_0}\int\dfrac{\rho(\mathbf{r}',t-|\mathbf{r}-\mathbf{r}'|/c)}{|\mathbf{r}-\mathbf{r}'|}\,dV' \)<br><br>\( \mathbf{A}(\mathbf{r},t) = \dfrac{\mu_0}{4\pi}\int\dfrac{\mathbf{J}(\mathbf{r}',t-|\mathbf{r}-\mathbf{r}'|/c)}{|\mathbf{r}-\mathbf{r}'|}\,dV' \)<br><br>Solutions of the inhomogeneous wave equation: information about source at \(\mathbf{r}'\) propagates at speed c to reach \(\mathbf{r}\) at time t.	eo h2_retarded
Define retarded time and the [...] notation.	\( [\rho] \equiv \rho(\mathbf{r}', t - |\mathbf{r}-\mathbf{r}'|/c) \) — the source quantity evaluated at the time it must have left the source point to reach the observation point at time t.<br><br>Useful identities: \( \partial[F]/\partial r = -[F']/c \) and \( \partial[F]/\partial t = [F'] \).	eo h2_retarded
Why don't uniformly moving charges radiate?	A frame can be found in which the charge is stationary, in which it cannot lose energy. Since power radiated is Lorentz invariant, no radiation in any frame. So radiation requires acceleration.	eo h2_dipole
Define the dipole approximation.	The dipole's physical size d is much less than the wavelength of the radiation:<br><br>\( d \ll \lambda = 2\pi c/\omega \)<br><br>This justifies neglecting \(\mathbf{r}'\) variations within the source when calculating the retarded potentials at distances \(r \gg d\).	eo h2_dipole
Derive the vector potential of a Hertzian dipole.	For a small dipole at origin, with \(d\ll r\), the integrated retarded current density is just \([\dot{\mathbf{p}}]\). So:<br><br>\( \mathbf{A}(\mathbf{r},t) = \dfrac{\mu_0}{4\pi r}[\dot{\mathbf{p}}] \)<br><br>parallel to \(\dot{\mathbf{p}}\), evaluated at the retarded time.	eo h2_dipole
State the magnetic field of a Hertzian dipole (all terms).	\( B_\phi = \dfrac{\mu_0\sin\theta}{4\pi}\left(\dfrac{[\dot p]}{r^2} + \dfrac{[\ddot p]}{rc}\right) \)<br><br>\(B_r = B_\theta = 0\). The two terms are induction (\(1/r^2\)) and radiation (\(1/r\)).	eo h2_dipole
State the electric field of a Hertzian dipole (all terms).	\( E_r = \dfrac{2\cos\theta}{4\pi\varepsilon_0}\left(\dfrac{[p]}{r^3} + \dfrac{[\dot p]}{r^2 c}\right) \)<br><br>\( E_\theta = \dfrac{\sin\theta}{4\pi\varepsilon_0}\left(\dfrac{[p]}{r^3} + \dfrac{[\dot p]}{r^2 c} + \dfrac{[\ddot p]}{rc^2}\right) \)<br><br>\(E_\phi = 0\). Three terms: dipole (\(1/r^3\)), induction (\(1/r^2\)), radiation (\(1/r\)).	eo h2_dipole
Identify the near, induction, and radiation zones for a dipole.	For \(p_0 e^{-i\omega t}\):<br>• Near (dipole) term \(\propto [p]/r^3 \propto 1/r^3\): dominates for \(r\ll\lambda\)<br>• Induction term \(\propto [\dot p]/(r^2 c) \propto 1/r^2\): never dominates<br>• Radiation term \(\propto [\ddot p]/(rc^2) \propto 1/r\): dominates for \(r\gg\lambda\)<br><br>Only the radiation term gives \(N\propto 1/r^2\), the signature of true outgoing radiation.	eo h2_dipole
State the radiation fields of a Hertzian dipole (far-zone).	\( E_\theta = \dfrac{\sin\theta}{4\pi\varepsilon_0}\dfrac{[\ddot p]}{rc^2} \)<br><br>\( B_\phi = \dfrac{\mu_0\sin\theta}{4\pi}\dfrac{[\ddot p]}{rc} \)<br><br>In phase with each other and with the (retarded) acceleration of the charges; \(E_\theta = cB_\phi\); orthogonal in space; the wave is linearly polarized along E.	eo h2_dipole
State the time-averaged power radiated by a Hertzian dipole.	\( \langle P\rangle = \dfrac{\mu_0\omega^4 p_0^2}{12\pi c} = \dfrac{\omega^4 p_0^2}{12\pi\varepsilon_0 c^3} \)<br><br>Strong \(\omega^4\) dependence — the basis of Rayleigh scattering's blue-sky law.	eo h2_dipole
State the angular distribution of dipole radiation.	\( G(\theta,\phi) \propto \sin^2\theta \)<br><br>Maximum in the equatorial plane (perpendicular to the dipole), zero along the polar axes. Cylindrically symmetric (no \(\phi\) dependence). Power gain \(G^{ED} = (3/2)\sin^2\theta\).	eo h2_dipole
Distinguish electric dipole, magnetic dipole, and electric quadrupole radiation.	Multipole expansion of \(\mathbf{A}(\mathbf{r}) \propto e^{ikr}/r \sum_m (-ik)^m \int\mathbf{J}(\mathbf{r}')(n\cdot\mathbf{r}')^m\,dV'/m!\).<br><br>m=0: electric dipole (\(\mathbf{p}\)).<br>m=1 antisymmetric: magnetic dipole (\(\mathbf{m}\)).<br>m=1 symmetric: electric quadrupole (\(Q_{\alpha\beta}\)).<br><br>Higher m terms suppressed by powers of \(kd\ll 1\).	eo h2_dipole
Compare radiated powers of electric and magnetic dipoles of similar size.	\( \dfrac{\langle P^{MD}\rangle}{\langle P^{ED}\rangle} = \dfrac{m_0^2}{c^2 p_0^2} \sim \left(\dfrac{2\pi a}{\lambda}\right)^2 \ll 1 \)<br><br>Small magnetic dipoles (\(a\ll\lambda\)) are much less efficient radiators than Hertzian electric dipoles of the same size carrying the same current.	eo h2_dipole
State the electric quadrupole moment tensor.	\( Q_{\alpha\beta} = \int (3 x_\alpha x_\beta - r^2\delta_{\alpha\beta})\rho(\mathbf{r})\,dV \)<br><br>Symmetric, traceless second-rank tensor. The quadrupole radiation power scales as \(\omega^6\) (rather than \(\omega^4\) for electric dipole) and is even less efficient than ED for \(ka\ll 1\).	eo h2_dipole
Define radiation resistance.	\( R_r \equiv \dfrac{\langle P\rangle}{\langle I^2\rangle} \)<br><br>The effective resistance an antenna presents to its driving circuit due to power loss into radiation.	eo h2_antennas
State the radiation resistance of a Hertzian dipole.	\( R_r = \dfrac{\mu_0\omega^2 d^2}{6\pi c} = \dfrac{2\pi}{3}Z_0\left(\dfrac{d}{\lambda}\right)^2 = 789\left(\dfrac{d}{\lambda}\right)^2\,\Omega \)<br><br>where \(Z_0 = 377\,\Omega\) is the impedance of free space. Small for \(d\ll\lambda\), making impedance matching difficult.	eo h2_antennas
Define the power gain of an antenna.	\( G(\theta,\phi) = \dfrac{N(\theta,\phi)}{(1/4\pi)\int N(\theta,\phi)\,d\Omega} \)<br><br>Ratio of the radial Poynting flux in a direction to the average over all directions. \(\int G\,d\Omega/4\pi = 1\). For Hertzian dipole: \(G^{ED} = (3/2)\sin^2\theta\).	eo h2_antennas
Define the effective area of a receiving antenna.	\( A_{\mathrm{eff}}(\theta,\phi) = \dfrac{\mathrm{Power\ delivered\ to\ matched\ load}}{\mathrm{Energy\ flux\ density\ of\ polarized\ radiation}} = \dfrac{\langle P_{\mathrm{load}}\rangle}{\langle N_{\mathrm{incident}}\rangle} \)<br><br>when the polarization is oriented for best reception. For Hertzian dipole: \(A_{\mathrm{eff}} = (3\lambda^2 \sin^2\theta)/(8\pi)\).	eo h2_antennas
State the relation between effective area and power gain.	\( A_{\mathrm{eff}}(\theta,\phi) = \dfrac{\lambda^2}{4\pi} G(\theta,\phi) \)<br><br>Holds for any antenna, regardless of design. Provable thermodynamically by detailed balance with blackbody radiation. High radiative efficiency ⟺ high detection sensitivity.	eo h2_antennas
Sketch the thermodynamic proof of the effective area formula.	Place antenna in blackbody cavity at T. Antenna absorbs power \(P_{\mathrm{abs}} = A_{\mathrm{eff}}(\nu^2/c^2)k_B T\,d\Omega\,d\nu\) from each direction (one polarization → factor ½ on Rayleigh-Jeans). Detailed balance: power radiated back equals \(P_{\mathrm{rad}} = \langle I^2\rangle R_r G\,d\Omega/(4\pi)\), with Johnson noise \(\langle V^2\rangle = 4 k_B T R_r d\nu\). Equating gives \(A_{\mathrm{eff}} = \lambda^2 G/(4\pi)\).	eo h2_antennas
Why does the Hertzian dipole's effective area exceed its geometrical size?	Because the dipole also re-radiates incident power. The incident and re-radiated fields interfere, and the total Poynting flux can curve inward toward the dipole, increasing the effective collection area beyond \(d^2\). For a matched load, half the absorbed power is dissipated and half is re-radiated.	eo h2_antennas
State the radiation resistance of a half-wave (\(\lambda/2\)) antenna.	\( R_r = \dfrac{1.219}{2\pi}Z_0 = 73.1\,\Omega \)<br><br>Much easier to impedance-match than a Hertzian dipole. Workhorse antenna for cellular communications (800 MHz – 3.4 GHz).	eo h2_antennas
Describe the radiation pattern of a phased linear array.	An array of N dipoles spaced a apart, driven in phase: total field has factor \(\sum_j e^{-ika\sin\phi(j-1)} = (1-e^{-iNka\sin\phi})/(1-e^{-ika\sin\phi})\). Produces directed beams at angles depending on \(\lambda/a\); beam width narrows as N increases. Adding electronic phase shifts steers the beam — used in flat phased-array radars.	eo h2_antennas
What is a Yagi-Uda antenna?	A directional antenna comprising an active dipole, a reflector behind it, and several directors in front. The interaction creates a strong forward radiation lobe and weak backward emission. Highly directional for both transmission and reception (TV aerials, base stations).	eo h2_antennas
Define the scattering cross-section.	\( \sigma = \dfrac{\langle P\rangle}{\mathrm{Incident\ EM\ flux}} = \dfrac{\langle P\rangle}{E_0^2/(2\mu_0 c)} \)<br><br>Has units of area. For \(p_0\propto E_0\), σ is independent of incident intensity.	eo h2_scattering
State the polarization of scattered light from unpolarized incident light.	\( P = \dfrac{1-\cos^2\alpha}{1+\cos^2\alpha} \)<br><br>where α is the scattering angle. P=0 forward/backward; P=1 at 90°. So skylight scattered at 90° from the Sun is fully linearly polarized.	eo h2_scattering
Why doesn't a dipole radiate along its axis?	Because the angular distribution is \(\sin^2\theta\), which vanishes for \(\theta = 0\). This explains the Brewster condition: at \(\theta_i = \theta_B\), the refracted ray is at 90° to the would-be reflected ray, which is along the induced dipole direction — so no reflected p-polarized component is produced.	eo h2_scattering
State the Rayleigh scattering cross-section.	\( \sigma = \dfrac{8\pi^3}{3}\mu_0^2 c^4 \alpha^2 \dfrac{1}{\lambda^4} \)<br><br>where \(\alpha\) is the molecular polarizability. The \(\lambda^{-4}\) dependence makes blue light scatter ~10× more than red — sky is blue. Sunsets are red because forward-transmitted light is depleted of blue.	eo h2_scattering
State the Thomson scattering cross-section.	\( \sigma_T = \dfrac{\mu_0^2 e^4}{6\pi m_e^2} = \dfrac{8\pi}{3}r_e^2 = 6.65\times 10^{-29}\,\mathrm{m}^2 \)<br><br>where \(r_e = e^2/(4\pi\varepsilon_0 m_e c^2) = 2.8\,\mathrm{fm}\) is the classical electron radius. Independent of frequency (classical limit; fails at high frequency where Compton scattering takes over).	eo h2_scattering
Where is Thomson scattering important?	Plasma diagnostics, incoherent scatter from atmosphere, light scattering in astrophysical plasmas (solar corona, accretion disks around black holes). The solar corona's halo during eclipses is partly Thomson-scattered sunlight from free electrons.	eo h2_scattering
Distinguish form factor and structure factor in scattering by many particles.	Form factor \(P_1(\mathbf{q})\): power scattered by a single particle in direction \(\mathbf{q} = \mathbf{k}_i - \mathbf{k}_s\). Weak \(\mathbf{q}\)-dependence.<br><br>Structure factor \(\mathcal{F}(\mathbf{q}) = |\sum_j e^{i\mathbf{q}\cdot\mathbf{r}_j}|^2 = |\tilde{n}(\mathbf{q})|^2\): captures positional correlations through the FT of the particle density. Dominates the angular dependence.	eo h2_scattering
Why don't perfect crystals scatter visible light?	Crystal density \(n(\mathbf{r})\) is modulated on the lengthscale of the lattice (~0.3 nm), giving structure factor peaks at \(q\sim 2\pi/0.3\,\mathrm{nm}\). Visible \(\lambda\sim 500\,\mathrm{nm}\) corresponds to much smaller \(q\), where \(\tilde{n}(\mathbf{q})\to 0\) (uniform on long scales). So visible light passes through. X-rays (\(\lambda\sim 0.1\)nm) match the lattice and produce Bragg diffraction.	eo h2_scattering
What is critical opalescence?	Strong scattering of visible light by liquids near a critical point or phase-separation transition. Density fluctuations occur on a lengthscale comparable to the wavelength of visible light, causing the otherwise transparent fluid to appear cloudy. Diverging correlation length at the critical point.	eo h2_scattering
State Einstein's two postulates of special relativity.	(1) Principle of Relativity: the laws of physics are identical in all inertial frames.<br>(2) Law of light propagation: light in vacuum propagates rectilinearly at the same speed c in all inertial frames, regardless of the motion of the source.	eo h3_relativity
Why are Maxwell's equations not Galilean invariant?	The EM wave equation \((\nabla^2 - c^{-2}\partial_t^2)\Psi = 0\) under Galilean transformation \(\mathbf{r}' = \mathbf{r} - \mathbf{v}t\), \(t'=t\) acquires extra terms \(-(2/c^2)(\mathbf{v}\cdot\nabla)\partial_t - (1/c^2)(\mathbf{v}\cdot\nabla)^2\) and is no longer of the wave-equation form. So either Maxwell's equations are wrong, EM has a preferred frame (the aether), or relativity is non-Galilean. Michelson-Morley → option (3).	eo h3_relativity
Define contravariant and covariant 4-vectors.	Contravariant: \(A'^\alpha = (\partial x'^\alpha/\partial x^\beta) A^\beta\) — transforms like \(dx^\alpha\).<br>Covariant: \(B'_\alpha = (\partial x^\beta/\partial x'^\alpha) B_\beta\) — transforms like \(\partial/\partial x^\alpha\).<br><br>Their inner product is invariant: \(B\cdot A = B_\alpha A^\alpha\).	eo h3_relativity
State the Minkowski metric tensor.	\( g_{\alpha\beta} = g^{\alpha\beta} = \mathrm{diag}(1,-1,-1,-1) \)<br><br>So that \((ds)^2 = g_{\alpha\beta}dx^\alpha dx^\beta = (dx^0)^2 - (dx^1)^2 - (dx^2)^2 - (dx^3)^2\) is invariant. Used to raise/lower indices: \(A_\alpha = g_{\alpha\beta}A^\beta\).	eo h3_relativity
Define the 4-gradient and the d'Alembertian.	\( \partial^\alpha = (\partial/\partial x_\alpha) = (\partial/\partial x_0, -\nabla) \)<br>\( \partial_\alpha = (\partial/\partial x^\alpha) = (\partial/\partial x_0, \nabla) \)<br><br>D'Alembertian: \( \Box^2 = \partial_\alpha\partial^\alpha = (1/c^2)\partial_t^2 - \nabla^2 \). Lorentz invariant.	eo h3_relativity
Why is electric charge a Lorentz invariant?	Atoms remain neutral despite electrons moving fast and nuclei slow — to better than 1 part in \(10^{21}\). Atoms remain neutral when heated or viewed in different inertial frames. In particle accelerators, e/m predicts electron dynamics correctly across the energy range — so e is independent of velocity.	eo h3_4current
Define the 4-current density.	\( J^\alpha = (c\rho, \mathbf{J}) = \rho_0\,dx^\alpha/d\tau \)<br><br>where \(\rho_0\) (rest-frame charge density) and proper time \(\tau\) are Lorentz invariants. Since \(R^\alpha = (ct,\mathbf{r})\) is a 4-vector, J must be one too.	eo h3_4current
State the Lorentz transformation of charge and current density.	\( c\rho' = \gamma(c\rho - \boldsymbol{\beta}\cdot\mathbf{J}) \)<br><br>\( \mathbf{J}' = \gamma(\mathbf{J}_\parallel - \boldsymbol{\beta}c\rho) + \mathbf{J}_\perp \)<br><br>where ∥ and ⊥ refer to the boost direction.	eo h3_4current
State the continuity equation in covariant form.	\( \partial_\alpha J^\alpha = \dfrac{\partial\rho}{\partial t} + \nabla\cdot\mathbf{J} = 0 \)<br><br>Conservation of charge holds in all inertial frames.	eo h3_4current
Define the 4-potential and write Maxwell's equations covariantly.	\( A^\alpha = (\phi/c, \mathbf{A}) \) (in Lorenz gauge)<br><br>\( \Box^2 A^\alpha = \mu_0 J^\alpha \)<br><br>This is manifestly covariant — same form in all inertial frames. Confirms A is a 4-vector.	eo h3_4current
State the Lorenz gauge condition in covariant form.	\( \partial_\alpha A^\alpha = \dfrac{1}{c}\dfrac{\partial(\phi/c)}{\partial t} + \nabla\cdot\mathbf{A} = \dfrac{1}{c^2}\dfrac{\partial\phi}{\partial t} + \nabla\cdot\mathbf{A} = 0 \)<br><br>Lorentz invariant — applies in all inertial frames simultaneously.	eo h3_4current
Define the electromagnetic field-strength tensor.	\( F^{\alpha\beta} = \partial^\alpha A^\beta - \partial^\beta A^\alpha \)<br><br>Antisymmetric. Components encode E and B:<br>\(F^{0i} = -E_i/c\), \(F^{ij} = -\varepsilon_{ijk}B_k\).	eo h3_fieldtensor
Write the inhomogeneous Maxwell equations covariantly.	\( \partial_\alpha F^{\alpha\beta} = \mu_0 J^\beta \)<br><br>This single tensor equation contains both Gauss's law (β=0) and Ampère-Maxwell law (β=1,2,3).	eo h3_fieldtensor
Write the homogeneous Maxwell equations covariantly.	\( \partial_\alpha F_{\beta\gamma} + \partial_\beta F_{\gamma\alpha} + \partial_\gamma F_{\alpha\beta} = 0 \)<br><br>(four equations for distinct antisymmetric index combinations). Contains \(\nabla\cdot\mathbf{B}=0\) and Faraday's law.	eo h3_fieldtensor
State the covariant form of the Lorentz force equation.	\( \dfrac{dP^\alpha}{d\tau} = m\dfrac{dU^\alpha}{d\tau} = qF^{\alpha\beta}U_\beta \)<br><br>where \(U^\alpha\) is the 4-velocity, \(P^\alpha = mU^\alpha\) is the 4-momentum, and \(\tau\) is the proper time. Combines force and energy equations.	eo h3_fieldtensor
State the Lorentz transformation of E and B (boost along x).	\( E_x' = E_x \), \( B_x' = B_x \) (parallel components unchanged)<br><br>\( E_y' = \gamma(E_y - vB_z) \), \( B_y' = \gamma(B_y + vE_z/c^2) \)<br><br>\( E_z' = \gamma(E_z + vB_y) \), \( B_z' = \gamma(B_z - vE_y/c^2) \)	eo h3_EBtransform
State the Lorentz transformation of E and B in vector form (parallel/perpendicular).	\( \mathbf{E}'_\parallel = \mathbf{E}_\parallel \), \( \mathbf{B}'_\parallel = \mathbf{B}_\parallel \)<br><br>\( \mathbf{E}'_\perp = \gamma[\mathbf{E} + \mathbf{v}\times\mathbf{B}]_\perp \)<br><br>\( \mathbf{B}'_\perp = \gamma[\mathbf{B} - (\mathbf{v}\times\mathbf{E})/c^2]_\perp \)<br><br>The form mirrors the Lorentz force, suggesting E and B are two aspects of one phenomenon.	eo h3_EBtransform
Why is magnetism a relativistic effect?	Consider a neutral current-carrying wire and a charge q moving parallel. In the wire's frame, the wire is neutral: only the magnetic force acts. In the rest frame of the carriers, Lorentz contraction makes the positive and negative charge densities unequal, producing a net electrostatic force. Both calculations give the same result: \(f_y = -\mu_0 I qu/(2\pi r)\) — magnetism = electrostatics + SR.	eo h3_EBtransform
How does spin-orbit coupling arise from SR?	In the electron's rest frame, the nuclear electrostatic field appears (via the field transformation \(\mathbf{B}' = -\gamma(\mathbf{u}\times\mathbf{E})/c^2\)) as a magnetic field. This couples to the electron's spin magnetic moment:<br><br>\( H_{so} = \dfrac{1}{2}\dfrac{ge}{4mc^2}\dfrac{1}{r}\dfrac{d\Phi}{dr}(\mathbf{s}\cdot\mathbf{L}) \)<br><br>The factor of ½ is the Thomas precession correction.	eo h3_EBtransform
State the E-field of a uniformly moving point charge.	Lorentz-transforming the rest-frame Coulomb field:<br><br>\( E_\parallel = \dfrac{q\cos\theta}{4\pi\varepsilon_0\gamma^2 r^2(1 - \beta^2\sin^2\theta)^{3/2}} \)<br><br>\( E_\perp = \dfrac{q\sin\theta}{4\pi\varepsilon_0\gamma^2 r^2(1 - \beta^2\sin^2\theta)^{3/2}} \)<br><br>E is purely radial (points from present position) but has anisotropic magnitude.	eo h3_uniformcharge
State the B-field of a uniformly moving point charge.	\( B_\phi = (v/c^2)E_\perp \)<br><br>Azimuthal magnetic field, perpendicular to both v and E. Vanishes in the rest frame.	eo h3_uniformcharge
Why does a uniformly moving charge not radiate?	Because in its rest frame it has zero acceleration and zero radiation. By Lorentz invariance of total radiated power, no radiation in any frame. Equivalently: \(N\propto 1/r^4\) (not 1/r²), so no net outward energy flux — the Poynting flux just transports field energy along with the charge.	eo h3_uniformcharge
What happens to E for an ultrarelativistic uniformly moving charge?	For \(\gamma\gg 1\):<br>• Near \(\theta = 0\) or \(\pi\): \(E_\parallel \sim q/(\gamma^2 4\pi\varepsilon_0 r^2)\) — very small.<br>• Near \(\theta = \pi/2\): \(E_\perp \sim \gamma q/(4\pi\varepsilon_0 r^2)\) — very large.<br><br>The field is flattened into a disc perpendicular to the motion ('pancaking').	eo h3_uniformcharge
State the Čerenkov condition.	Radiation is emitted when a charged particle moves through a medium faster than light in that medium:<br><br>\( v > \dfrac{c}{n} \)<br><br>Equivalently \(\beta n > 1\), or \(\beta^2\varepsilon(\omega) > 1\) for the relevant frequency components.	eo h3_uniformcharge
Derive the Čerenkov angle.	By Huygens construction, wavelets emitted along the particle's track interfere constructively along the cone tangent to all of them. In time T, the particle moves vT while the wavelet expands to (c/n)T:<br><br>\( \cos\theta_C = \dfrac{c/n}{v} = \dfrac{1}{\beta n} \)<br><br>The cone angle from the particle direction is \(\theta_C\).	eo h3_uniformcharge
Where is Čerenkov radiation observed?	(i) Particle showers in the atmosphere from cosmic rays.<br>(ii) Blue glow surrounding water-cooled nuclear reactors (relativistic β-particles in water with n=1.33).<br>(iii) Čerenkov particle detectors (e.g. Super-Kamiokande, SNO) — tanks of water surrounded by photomultipliers.	eo h3_uniformcharge
Why does Čerenkov radiation typically appear blue?	The intensity per unit frequency is \(d^2 E/(d\omega\,dx) \propto \omega(1 - 1/\beta^2\varepsilon(\omega))\), which is roughly linear in \(\omega\). So the higher-frequency (blue) end dominates over the red end of the visible spectrum — blue glow.	eo h3_uniformcharge
Describe qualitatively why an accelerated charge radiates.	When a charge changes velocity, the field lines develop a transverse 'kink' propagating outward at speed c. For \(r>ct\), the field still emanates from the charge's would-be (uniform-motion) position; for \(r<ct\), from its actual position. The kink connecting these is the radiative field.	eo h3_accelerated
What sets the characteristic wavelength of radiation from an accelerating charge?	\( \lambda \sim c|u|/|a| \)<br><br>where |u| is a characteristic speed and |a| a characteristic acceleration. For circular motion this gives \(\lambda \sim c/\omega_B = R/\beta\).	eo h3_accelerated
State the Liénard-Wiechert scalar and vector potentials.	\( \phi(\mathbf{x},t) = \dfrac{1}{4\pi\varepsilon_0}\left[\dfrac{e}{(1-\boldsymbol{\beta}\cdot\mathbf{n})R}\right]_{\mathrm{ret}} \)<br><br>\( \mathbf{A}(\mathbf{x},t) = \dfrac{\mu_0}{4\pi}\left[\dfrac{e\mathbf{v}}{(1-\boldsymbol{\beta}\cdot\mathbf{n})R}\right]_{\mathrm{ret}} \)<br><br>where R is the retarded distance and n is the unit vector from the (retarded) charge to the field point. The denominator factor accounts for the Doppler-like compression of the source's effective time.	eo h3_accelerated
State the Liénard-Wiechert E-field of a point charge.	\( \mathbf{E}(\mathbf{x},t) = \dfrac{e}{4\pi\varepsilon_0}\left\{\left[\dfrac{\mathbf{n}-\boldsymbol{\beta}}{\gamma^2(1-\boldsymbol{\beta}\cdot\mathbf{n})^3 R^2}\right]_{\mathrm{ret}} + \left[\dfrac{\mathbf{n}\times((\mathbf{n}-\boldsymbol{\beta})\times\dot{\boldsymbol{\beta}})}{c(1-\boldsymbol{\beta}\cdot\mathbf{n})^3 R}\right]_{\mathrm{ret}}\right\} \)<br><br>First term: velocity field (\(\propto 1/R^2\), reproduces Coulomb-like static field for uniform motion). Second term: acceleration / radiation field (\(\propto 1/R\)).	eo h3_accelerated
State the Liénard-Wiechert B-field of a point charge.	\( \mathbf{B}(\mathbf{x},t) = \dfrac{1}{c}[\mathbf{n}\times\mathbf{E}]_{\mathrm{ret}} \)<br><br>Always perpendicular to E and to n (the retarded line of sight to the charge).	eo h3_accelerated
Distinguish velocity fields and acceleration fields in the Liénard-Wiechert formula.	Velocity fields: independent of \(\dot{\boldsymbol{\beta}}\), fall as \(1/R^2\), essentially static fields carried with the charge (reproduce §8.1 result for uniform motion).<br><br>Acceleration fields: linear in \(\dot{\boldsymbol{\beta}}\), fall as \(1/R\), give Poynting flux \(\propto 1/R^2\) — the true radiation fields.	eo h3_accelerated
State the (non-relativistic) Larmor formula.	\( P = \dfrac{\mu_0 e^2 |\dot{\mathbf{v}}|^2}{6\pi c} \)<br><br>Total instantaneous power radiated by a non-relativistic accelerated charge. Same as a Hertzian dipole with \(\mathbf{p} = e\mathbf{r}\) and \(\ddot{\mathbf{p}} = e\dot{\mathbf{v}}\).	eo h3_larmor
State the angular distribution of Larmor radiation.	\( \dfrac{dP}{d\Omega} = \dfrac{\mu_0 e^2}{16\pi^2 c}|\dot{\mathbf{v}}|^2\sin^2\theta \)<br><br>where θ is the angle between the acceleration \(\dot{\mathbf{v}}\) and the observation direction \(\mathbf{n}\). Same \(\sin^2\theta\) pattern as the Hertzian dipole.	eo h3_larmor
Why is total radiated power Lorentz invariant?	In the rest frame S', a small radiated 4-momentum is \(dP'^\alpha = (dE'/c, 0)\) (the radiation has the symmetric \(\sin^2\theta\) pattern, carrying no net 3-momentum). Lorentz transforming gives \(dE = \gamma dE'\). Since \(dt = \gamma dt'\), we have \(P = dE/dt = dE'/dt' = P'\). Power is invariant.	eo h3_larmor
State the Liénard formula (relativistic Larmor).	\( P = \dfrac{\mu_0 e^2}{6\pi c}(\gamma^6 a_\parallel^2 + \gamma^4 a_\perp^2) \)<br><br>where \(a_\parallel\) and \(a_\perp\) are the accelerations parallel and perpendicular to the velocity in the lab frame. Recovers Larmor for \(\gamma\to 1\).	eo h3_larmor
