#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
State the Zimm time τ<sub>Z</sub>.	τ<sub>Z</sub> ~ ηR³/k<sub>B</sub>T ~ τ₀ N^(3ν)<br><br>For an ideal chain (ν = 1/2): τ<sub>Z</sub> ~ N^(3/2). For good solvent (ν = 3/5): τ<sub>Z</sub> ~ N^(9/5). Slightly weaker N-dependence than the Rouse time τ<sub>R</sub> ~ N².	soft_matter ch4_polymers
What is reptation?	The motion of an entangled polymer chain through a tube formed by surrounding chains in a melt or gel. The chain cannot cross other chains so it must diffuse along its own contour, like a snake. Originally proposed by de Gennes/Edwards.	soft_matter ch4_polymers
State the reptation time τ<sub>rep</sub>.	τ<sub>rep</sub> ~ (ηb³/k<sub>B</sub>T) × N³/N<sub>e</sub><br><br>where N<sub>e</sub> is the entanglement length. The N³ scaling is much steeper than the Rouse N² because the chain must diffuse along its much longer contour length L ~ N b/√N<sub>e</sub>.	soft_matter ch4_polymers
How does the diffusion coefficient scale with N for a reptating chain?	D<sub>rep</sub> ~ (k<sub>B</sub>T/Nγ)(N<sub>e</sub>/N)² ∝ N⁻²<br><br>Much slower than Rouse (N⁻¹) or Zimm (N^−ν). Experimentally observed for entangled polymer melts.	soft_matter ch4_polymers
Define surface tension γ.	Energy per unit area required to create a new surface (units J/m² = N/m). Equivalently, the force per unit length acting tangential to a free surface that resists its expansion.	soft_matter ch5_surfaces
Give the thermodynamic definition of surface tension.	γ = (∂U/∂A)<sub>S,V,n</sub> = (∂F/∂A)<sub>T,V,n</sub> = (∂G/∂A)<sub>T,p,n</sub><br><br>It is the change in (internal/Helmholtz/Gibbs) free energy per unit increase in surface area, at fixed thermodynamic conditions.	soft_matter ch5_surfaces
Why do liquids form spherical droplets in the absence of gravity?	Because a sphere minimises the surface area for a given volume, which minimises the surface free energy γA. This is a direct consequence of surface tension and is observed for drops smaller than the capillary length.	soft_matter ch5_surfaces
State the Young–Laplace equation for the pressure jump across a curved interface.	Δp = γ(1/R₁ + 1/R₂) = 2γH<br><br>where R₁, R₂ are the principal radii of curvature and H = (1/R₁ + 1/R₂)/2 is the mean curvature. For a sphere of radius R: Δp = 2γ/R. For a soap bubble (two surfaces): Δp = 4γ/R.	soft_matter ch5_surfaces
Why is the pressure inside a soap bubble Δp = 4γ/R rather than 2γ/R?	Because a soap bubble has two interfaces (an inner and an outer surface of the soap film), each contributing 2γ/R to the pressure jump. A simple liquid droplet has only one interface, giving Δp = 2γ/R.	soft_matter ch5_surfaces
Define the capillary length l<sub>c</sub>.	l<sub>c</sub> = √(γ/(ρg))<br><br>The length scale below which surface tension dominates over gravity. For water: l<sub>c</sub> ≈ 2.7 mm. Drops smaller than l<sub>c</sub> are nearly spherical.	soft_matter ch5_surfaces
Derive the capillary rise height in a thin tube.	Hydrostatic pressure difference at height h: ρgh.<br>Laplace pressure across meniscus: 2γ/R (assuming spherical meniscus, R = tube radius for full wetting).<br>Equating: γ = ρghR/2 ⟹ h = 2γ/(ρgR).	soft_matter ch5_surfaces
State Young's equation for the contact angle.	γ<sub>SV</sub> = γ<sub>SL</sub> + γ<sub>LV</sub> cos θ<br><br>This is a force balance at the three-phase contact line: solid-vapour, solid-liquid, and liquid-vapour surface tensions. Solving for cos θ gives the equilibrium contact angle.	soft_matter ch5_surfaces
Define the wetting parameter S.	S = γ<sub>SV</sub> − (γ<sub>SL</sub> + γ<sub>LV</sub>)<br><br>S > 0: complete wetting (liquid spreads, θ = 0). S < 0: partial wetting (finite contact angle). S very negative: non-wetting (θ → 180°).	soft_matter ch5_surfaces
What is hydrophilic vs hydrophobic in terms of contact angle?	Hydrophilic surface: water has small contact angle θ < 90° (likes the surface).<br>Hydrophobic surface: water has large contact angle θ > 90° (avoids the surface).<br>Superhydrophobic: θ > 150°, achieved by surface roughness/pillars (e.g. lotus leaf).	soft_matter ch5_surfaces
Relate surface tension to the Hamaker constant.	γ = A/(24πa²)<br><br>where A is the Hamaker constant and a is half the molecular spacing. Comes from integrating the van der Waals attraction f(h) = A/(6πh³) between two halves of a liquid slab. Underestimates γ because dispersion is frequency-dependent.	soft_matter ch5_surfaces
State the Gibbs adsorption isotherm.	n/A = −(1/k<sub>B</sub>T) (dγ/d ln c)<br><br>The surface excess concentration n/A of solute at an interface is related to the rate at which surface tension γ changes with bulk solute concentration c. Surfactants reduce γ → positive n/A (surfactant accumulates at interface).	soft_matter ch5_surfaces
Why does surface tension stop decreasing above the CMC of a surfactant?	Above the critical micelle concentration, additional surfactant added to the solution goes into micelles rather than monomers. The chemical potential of monomers stops increasing, so the surface tension plateau is reached. This is often the simplest experimental method to measure CMC.	soft_matter ch5_surfaces
What is the Cahn–Hilliard model of an interface?	A free-energy functional approach that adds a gradient term penalising sharp concentration gradients:<br><br>F = ∫ dx [f(ϕ) + B(∇ϕ)²]<br><br>It allows the interface to have finite thickness ξ ~ √(B/A) rather than being a sharp discontinuity. Diverges at critical points.	soft_matter ch5_surfaces
Define a colloid (rough size criterion).	Particles or structures with at least one dimension in the range ~1 nm to ~1 μm — large enough that quantum effects are negligible, but small enough that thermal motion (k<sub>B</sub>T) significantly affects them. Examples: proteins, viruses, polymer latex, gold nanoparticles, smoke.	soft_matter ch6_colloids
What sets the upper size limit for colloids?	When ⟨h⟩ = k<sub>B</sub>T/(m<sub>b</sub>g) becomes smaller than the particle radius r, the particle sediments under gravity rather than diffusing. For typical density contrast (~1 g/cm³), this happens around r ≈ 1 μm.	soft_matter ch6_colloids
List the five main interactions between colloidal particles.	(1) Excluded volume (hard-core repulsion).<br>(2) Dispersion / van der Waals attraction.<br>(3) Coulomb repulsion (screened by electrolyte).<br>(4) Depletion (entropic attraction).<br>(5) Steric repulsion (e.g. polymer brush coating).	soft_matter ch6_colloids
State the van der Waals interaction between two atoms.	V(r) = −B/r⁶<br><br>where B = 2α²hν/(4πε₀)². This is the London dispersion force, of quantum mechanical origin (induced-dipole–induced-dipole interaction).	soft_matter ch6_colloids
State the vdW interaction between two parallel solid surfaces (per unit area).	V(h)/A = −A<sub>H</sub>/(12πh²)<br><br>where A<sub>H</sub> is the Hamaker constant (~10⁻²⁰ J typically) and h is the separation. Note the much slower decay (h⁻²) compared to atom-atom (r⁻⁶), because all pairs of atoms across the slabs contribute.	soft_matter ch6_colloids
State the vdW interaction between two spheres at close approach.	V<sub>sph-sph</sub>(h) ≈ −A<sub>H</sub>R/(12h)<br><br>where R is the sphere radius and h is the surface-to-surface separation (h ≪ R). Even slower decay than slab-slab — colloidal vdW interactions can be very long-ranged.	soft_matter ch6_colloids
Define the Bjerrum length.	l<sub>B</sub> = e²/(4πε₀ε<sub>r</sub>k<sub>B</sub>T)<br><br>The distance at which the Coulomb energy between two unit charges equals k<sub>B</sub>T. For water at 300 K (ε<sub>r</sub> ≈ 80), l<sub>B</sub> ≈ 0.7 nm. Independent of salt concentration.	soft_matter ch6_colloids
State the Poisson–Boltzmann equation.	∇²ϕ(x) = −(e/ε)Σ<sub>i</sub> z<sub>i</sub>n<sub>i,0</sub> exp(−z<sub>i</sub>eϕ/k<sub>B</sub>T)<br><br>Combines the Poisson equation with the Boltzmann distribution of ions in the local mean-field potential. Non-linear in general.	soft_matter ch6_colloids
State the Debye–Hückel (linearised PB) equation.	∇²ϕ(x) = κ²ϕ(x)<br><br>Obtained by Taylor-expanding the exponential in PB to first order, valid when eϕ ≪ k<sub>B</sub>T. The screening parameter κ = 1/λ.	soft_matter ch6_colloids
State the Debye–Hückel screening length.	λ = 1/κ = √(ε₀ε<sub>r</sub>k<sub>B</sub>T / (e²Σ<sub>i</sub>z<sub>i</sub>²n<sub>i,0</sub>))<br><br>For a 1:1 electrolyte: λ = √(ε₀ε<sub>r</sub>k<sub>B</sub>T / (2e²n₀)). The distance over which electrostatic potentials decay in an electrolyte solution.	soft_matter ch6_colloids
What is the Debye length of pure water at pH 7?	≈ 1 μm (≈ 960 nm)<br><br>Number density of H⁺ and OH⁻ ions is each 10⁻⁷ × N<sub>A</sub> × 1000 = 6.02 × 10¹⁹ m⁻³. The very low ion concentration in pure water gives a long screening length.	soft_matter ch6_colloids
What is the Debye length under physiological conditions (~0.1 M NaCl)?	≈ 1 nm<br><br>About 1000 times smaller than for pure water because the ion concentration is 10⁶ times larger (and λ ∝ 1/√n).	soft_matter ch6_colloids
Solve the PB equation for the potential near a single charged plane (low surface charge).	ϕ(x) = (σλ/ε<sub>w</sub>) exp(−x/λ)<br><br>The potential decays exponentially with the Debye length. Surface charge σ creates an electrostatic double layer of opposite sign in the solution.	soft_matter ch6_colloids
Define the Gouy–Chapman length.	λ<sub>GC</sub> = 2k<sub>B</sub>Tε<sub>w</sub>/(e|σ|)<br><br>The distance from a highly charged surface within which most counter-ions are concentrated. Smaller λ<sub>GC</sub> = stronger electrostatic interaction. Relevant when surface charges are large enough that DH linearisation breaks down.	soft_matter ch6_colloids
Describe the structure of an electric double layer at high surface charge.	Two regions: (1) a compact layer of counter-ions within ~λ<sub>GC</sub> of the surface, where the linearised theory fails because of high counter-ion density; and (2) a diffuse layer extending several Debye lengths λ where the Debye–Hückel description holds.	soft_matter ch6_colloids
What is DLVO theory?	Theory of colloidal stability combining attractive van der Waals interactions with repulsive screened-Coulomb interactions to predict the total interaction potential between two colloidal particles. Named after Derjaguin, Landau, Verwey, and Overbeek.	soft_matter ch6_colloids
State the screened Coulomb (DLVO repulsive) interaction between two charged spheres.	U<sub>e</sub>(r) = (Qe<sup>κR</sup>/(1+κR))² × e<sup>−κr</sup>/(ε₀ε<sub>r</sub>r)<br><br>where Q is the charge, R the radius, r the centre-to-centre separation, and κ = 1/λ.	soft_matter ch6_colloids
Sketch and explain the qualitative DLVO interaction profile.	Three features: (1) Deep primary minimum at very short range (vdW dominates) — aggregation. (2) Repulsive barrier at intermediate range (Coulomb dominates) — kinetic stabilisation. (3) Sometimes a shallow secondary minimum at larger range — metastable aggregation. High salt screens the repulsion → barrier disappears → particles aggregate.	soft_matter ch6_colloids
How does adding salt destabilise a colloidal suspension?	Increasing salt concentration decreases the Debye length λ, reducing the range of the repulsive Coulomb interaction. The DLVO barrier disappears, and the deep van der Waals primary minimum dominates → particles aggregate.	soft_matter ch6_colloids
What are depletion interactions?	An effective entropic attraction between large colloidal particles in a suspension containing smaller particles (or polymers). When the gap between two large colloids is smaller than the small particle diameter, small particles cannot enter; the imbalance in osmotic pressure pushes the large particles together.	soft_matter ch6_colloids
State the depletion interaction strength (square-well model).	U<sub>dep</sub> = −P<sub>osm</sub>V<sub>dep</sub><br><br>where P<sub>osm</sub> = (N/V)k<sub>B</sub>T is the osmotic pressure of the small particles and V<sub>dep</sub> is the overlap volume of the depletion zones. Range = small particle diameter; depth ~ a few k<sub>B</sub>T.	soft_matter ch6_colloids
How can polymer brushes stabilise colloids?	Steric stabilisation: when two particles coated with grafted polymer chains approach, the brushes overlap, compressing the chains and incurring an osmotic + elastic free energy cost. This creates a strong short-range repulsion that prevents direct contact and vdW-driven aggregation.	soft_matter ch6_colloids
List the three main driving forces for molecular self-assembly.	(1) Hydrogen bonding: directional, ~20 kJ/mol, important for protein folding and DNA.<br>(2) Hydrophobic effect: water expels non-polar solutes, drives micelle formation.<br>(3) Electrostatics (screened): can stabilise or destabilise depending on charge and ionic strength.	soft_matter ch7_selfassembly
Why is the hydrophobic effect entropically driven for small solutes?	Water can maintain its hydrogen-bonding network around a small (< ~1 nm) hydrophobe, but only by adopting a more constrained set of orientational microstates. This reduces water entropy. Aggregation of hydrophobes minimises the surface area of constrained water → restores entropy.	soft_matter ch7_selfassembly
How does the hydrophobic effect change for large solutes?	For solutes larger than ~1 nm, water cannot reorganise its H-bond network around them and must break hydrogen bonds at the surface. The cost becomes enthalpic rather than entropic (each broken H-bond is ~20 kJ/mol).	soft_matter ch7_selfassembly
Define the critical micelle concentration (CMC).	The concentration above which surfactant monomers preferentially form micelles rather than remain dissolved as monomers. Below the CMC: mostly monomers; above: monomer concentration ≈ CMC and excess surfactant goes into micelles.	soft_matter ch7_selfassembly
Express the CMC in terms of the energy gain Δε per amphiphile of joining a micelle.	c<sub>CMC</sub> ~ exp(Δε/k<sub>B</sub>T)<br><br>where Δε = ε<sub>α*</sub> − ε<sub>1</sub> is the difference in chemical potential per amphiphile between the micellar and monomer states. Larger driving force → smaller CMC.	soft_matter ch7_selfassembly
Define the surfactant packing parameter.	p = v/(a₀l<sub>c</sub>)<br><br>where v is the hydrocarbon tail volume, a₀ the head group area, and l<sub>c</sub> the maximum tail length. Determines the aggregate shape from geometry alone.	soft_matter ch7_selfassembly
Give the surfactant packing parameter ranges and corresponding shapes.	p < 1/3: spherical micelles<br>1/3 < p < 1/2: cylindrical micelles<br>1/2 < p < 1: bilayers and vesicles<br>p > 1: inverted micelles (e.g. in oil)	soft_matter ch7_selfassembly
Why must p < 1/3 for spherical micelles?	For spherical packing of α surfactants of volume v in a sphere of radius R = 3v/a₀, the constraint is R < l<sub>c</sub> (the tail must reach the centre). This gives v/(a₀l<sub>c</sub>) < 1/3. Larger p leads to lower-curvature shapes.	soft_matter ch7_selfassembly
What are the main phases of self-assembled lipid systems with increasing water content?	Hexagonal (H, low water, tightly packed tubes), Lamellar (L, bilayers separated by water), Cubic (Q, water in voids), Vesicles (V, infinite dilution, ~99% water). The lamellar L<sub>α</sub> phase corresponds to fluid biological membranes.	soft_matter ch7_selfassembly
Describe the three main phases of a lipid bilayer with temperature.	L<sub>β</sub> (gel/solid-ordered, lowest T): tilted tails, tightly packed, thin.<br>P<sub>β</sub> (ripple, intermediate T): undulating membrane, intermediate state.<br>L<sub>α</sub> (fluid, highest T): disordered tails, lipids freely mobile in the plane. The L<sub>β</sub> → L<sub>α</sub> transition is the main melting transition T<sub>m</sub>.	soft_matter ch7_selfassembly
How does pressure affect the lipid phase transition temperature?	ΔT<sub>m</sub>/T<sub>m</sub> = Δp ΔV/ΔH₀<br><br>Increasing pressure shifts T<sub>m</sub> to higher values (typically ~1 K per 40 bar for DMPC). The result follows from the Clausius-Clapeyron relation applied to the membrane phase transition.	soft_matter ch7_selfassembly
State the Helfrich bending energy of a fluid membrane (per unit area).	f<sub>bend</sub> = ½κ(c₁ + c₂ − c₀)² + κ<sub>G</sub>c₁c₂<br><br>where κ is the bending rigidity, κ<sub>G</sub> the Gaussian rigidity, c₁, c₂ are principal curvatures, and c₀ is the spontaneous curvature.	soft_matter ch7_selfassembly
State the energy of a planar membrane subject to tension and bending.	δE = ∫dA [½σ|∇h|² + ½κ(∇²h)²]<br><br>For a Monge-parametrised membrane with height h(x,y), σ is the surface tension and κ the bending rigidity. The first term is the stretching cost; the second is the bending cost.	soft_matter ch7_selfassembly
State the spectrum of thermal membrane fluctuations.	⟨|h<sub>q</sub>|²⟩ = (k<sub>B</sub>T)/(A(σq² + κq⁴))<br><br>From equipartition applied to each Fourier mode. At long wavelengths (small q), tension dominates. At short wavelengths (large q), bending dominates.	soft_matter ch7_selfassembly
Why are membrane fluctuations dominated by long-wavelength modes?	Because the energy cost scales as σq² + κq⁴, fluctuations are largest at small q (long wavelengths) where the energy is smallest. ⟨|h<sub>q</sub>|²⟩ ∝ 1/q² for tension-dominated modes and 1/q⁴ for bending-dominated modes — both diverge at small q.	soft_matter ch7_selfassembly
Define the Helmholtz free energy of an α-cluster of surfactants.	F = Σ<sub>α</sub>[n<sub>α</sub>k<sub>B</sub>T(ln(n<sub>α</sub>Λ³<sub>α</sub>/V) − 1) + n<sub>α</sub>f<sub>α</sub>]<br><br>where n<sub>α</sub> is the number of clusters of size α, f<sub>α</sub> = −k<sub>B</sub>T ln z<sub>α</sub> is the internal free energy. First term: translational entropy. Second term: internal degrees of freedom.	soft_matter ch7_selfassembly
At equilibrium, how is the concentration of α-clusters related to the monomer concentration?	c<sub>α</sub> = α[c₁ exp((ε₁ − ε<sub>α</sub>)/k<sub>B</sub>T)]<sup>α</sup><br><br>If ε<sub>α</sub> < ε₁ (aggregation favourable), large clusters dominate above the CMC. If ε<sub>α</sub> > ε₁, the system stays as monomers.	soft_matter ch7_selfassembly
Equipartition theorem for a Brownian particle in a harmonic trap.	Each quadratic degree of freedom contributes ½k<sub>B</sub>T to the average energy. For a 3D harmonic trap V = ½kr², ⟨V⟩ = (3/2)k<sub>B</sub>T, so ⟨r²⟩ = 3k<sub>B</sub>T/k.	soft_matter formulas
What is the Smoluchowski diffusion-controlled rate?	k = 4πDa<br><br>The maximum rate of an irreversible bimolecular reaction in solution, limited only by diffusion to a reaction radius a. With D = k<sub>B</sub>T/(6πηa), this gives k ~ k<sub>B</sub>T/η, independent of size.	soft_matter formulas
Relation between Kuhn length and persistence length.	b<sub>Kuhn</sub> = 2l<sub>p</sub><br><br>For a worm-like chain. The Kuhn length is twice the persistence length because the persistence length measures the directional correlation, while the Kuhn segment is the effective independent unit.	soft_matter formulas
Number of Kuhn segments for a chain of contour length L.	N<sub>K</sub> = L/b<sub>Kuhn</sub> = L/(2l<sub>p</sub>)<br><br>Used to apply ideal-chain results ⟨R²⟩ = N<sub>K</sub>b² to a worm-like chain, giving ⟨R²⟩ = 2l<sub>p</sub>L for L ≫ l<sub>p</sub>.	soft_matter formulas
State the Cauchy stress relation.	dF<sub>i</sub> = σ<sub>ij</sub>n<sub>j</sub>dS<br><br>The force on a surface element dS with outward normal n is given by contracting the stress tensor with the normal vector. This is how stress and force are related on any surface.	soft_matter formulas
How does the persistence length depend on temperature for a worm-like chain?	l<sub>p</sub> = C<sub>B</sub>/(k<sub>B</sub>T) ∝ 1/T<br><br>Higher temperature → smaller persistence length (chain bends more easily). Useful for predicting how end-to-end distance changes with T: ⟨R²⟩ = 2l<sub>p</sub>L decreases as T increases.	soft_matter formulas
Mean free path of momentum diffusion in time t.	δ ~ √(νt) = √((η/ρ)t)<br><br>The distance momentum diffuses through a fluid of kinematic viscosity ν = η/ρ in time t. Same form as Einstein diffusion of particles.	soft_matter formulas
Time for a colloid to diffuse its own diameter.	τ<sub>r</sub> = r²/D = 6πηr³/(k<sub>B</sub>T)<br><br>Combining ⟨x²⟩ = 6Dt with the Stokes–Einstein relation. For r = 1 μm in water, τ<sub>r</sub> ~ 1 s.	soft_matter formulas
Why is rubber elasticity entropic?	Because the internal energy of an ideal Gaussian chain is independent of conformation — there is no enthalpic preference for stretched vs coiled states. The free energy F = U − TS is dominated by −TS, and stretching reduces S because there are far fewer stretched conformations than coiled ones.	soft_matter formulas
Why does water wet a clean glass surface?	Glass is hydrophilic (high surface energy γ<sub>SV</sub>). Young's equation γ<sub>SV</sub> = γ<sub>SL</sub> + γ<sub>LV</sub> cos θ gives cos θ > 0 (and often > 1, meaning complete wetting). The water spreads to minimise the high-energy solid-vapour interface.	soft_matter formulas
State the relationship between the Young's modulus, bulk modulus, and Poisson's ratio.	B = E/(3(1−2ν))<br><br>For ν = 1/3: B = E. For ν → 1/2: B → ∞ (incompressible).	soft_matter formulas
State the relationship between Young's modulus, shear modulus, and Poisson's ratio.	G = E/(2(1+ν))<br><br>For ν = 1/2 (incompressible): G = E/3. For ν = 0: G = E/2.	soft_matter formulas
Why is the diffusion equation called a parabolic PDE?	Because it is first order in time and second order in space: ∂<sub>t</sub>c = D∇²c. This means information propagates at infinite speed (a sharp delta function spreads out instantaneously to all distances), characteristic of diffusive (rather than wave-like) dynamics.	soft_matter formulas
Why are polymer chains in a melt ideal (Flory's theorem)?	Each chain is surrounded by chains of identical chemistry. The repulsion that swells a chain in dilute solution (excluded volume) is exactly cancelled by the screening from surrounding chains (which would otherwise compact the coil). The effective excluded volume is v ∝ 1/N₂ → 0.	soft_matter formulas
